id,title,description,price,category,image,specs,skv,mrp,sale_price,features,stock
12,"PZEM004T
Electric Energy Metering Power Monitor","The PZEM-004T AC meter with0ut coil current transformer (CT) and USB cable is a powerful and user-friendly device designed for precise monitoring of AC voltage, current, power, and energy consumption. This versatile meter is ideal for a wide range of applications, from home energy management to industrial monitoring, providing essential data to help optimize electrical systems.",580,Sensors,PZEM004T.jpeg,"{ ""Model"": ""PZEM-004T"", ""Sensor Type"": ""AC Multi-function Energy Meter"", ""Operating Voltage"": ""80V - 260V AC"", ""Measurement Current"": ""0 - 100A AC (with current transformer)"", ""Communication Interface"": ""UART (TTL Serial)"", ""Measured Parameters"": ""Voltage, Current, Power, Energy, Frequency, Power Factor"", ""Weight"": ""Approximately 45 g"" }",S13A,,580,"{""Brand"": """", ""Model"": ""PZEM-004T"", ""Operating Voltage"": ""80â€“260VAC"", ""Test Voltage"": ""80â€“260VAC"", ""Rated Current"": ""100A"", ""Rated Power"": ""22000W (at 220V, 100A)"", ""Operating Frequency"": ""45â€“65Hz"", ""Measurement Accuracy"": ""Class 1.0""}",1
14,DHT22 Module Temp & Humidity Sensor,"The DHT22 Digital Temperature and Humidity Sensor Module AM2302 is a basic, low-cost digital temperature and humidity sensor. It uses a capacitive humidity sensor and a thermistor to measure the surrounding air and spits out a digital signal on the data pin (no analog input pins needed). Itâ€™s fairly simple to use but requires careful timing to grab data. The only real downside of this sensor is you can only get new data from it once every 2 seconds, so when using our library, sensor readings can be up to 2 seconds old.",130,Sensors,DHT22 Module Temp & Humidity Sensor.jpeg,"{ ""Model"": ""DHT22 (AM2302)"", ""Sensor Type"": ""Digital Temperature and Humidity Sensor"", ""Operating Voltage"": ""3.3V - 6.0V DC"", ""Temperature Range"": ""-40°C to 80°C"", ""Humidity Range"": ""0% - 100% RH"", ""Communication Interface"": ""Single-wire Digital Output"", ""Weight"": ""Approximately 8 g"" }",S14A,260,130,"{""Operating Voltage"": ""3.5V to 5.5V"", ""Operating Current"": ""0.3mA (measuring), 60ÂµA (standby)"", ""Output"": ""Serial data"", ""Temperature Range"": ""-40Â°C to 80Â°C"", ""Humidity Range"": ""0% to 100%"", ""Resolution"": ""16-bit (Temperature and Humidity)"", ""Accuracy"": ""Â±0.5Â°C, Â±1%"", ""Compatibility"": ""Arduino boards, ESP8266""}",4
15,DS18B20 Water Proof Temperature Probe  Black,"This is DS18B20 Water Proof Temperature Probe â€“ Black (1m) Original Chip which is based on the DS18B20 sensor. It is very handy for when you need to measure something far away, or in wet conditions. Because they are digital, you donâ€™t get any signal degradation even over a long distances. These 1-wire digital temperature sensors are fairly precise (Â±0.5Â°C over much of the range) and can give up to 12 bits of precision from the onboard digital-to-analog converter.",70,Sensors,DS18B20 Water Proof Temperature Probe  Black.jpeg,"{ ""Model"": ""DS18B20 Waterproof Probe"", ""Sensor Type"": ""Digital Waterproof Temperature Sensor"", ""Operating Voltage"": ""3.0V - 5.5V DC"", ""Temperature Range"": ""-55°C to 125°C"", ""Communication Interface"": ""1-Wire Digital"", ""Probe Length"": ""1 meter"", ""Weight"": ""Approximately 25 g"" }",S15,140,70,"{""Type"": ""Programmable Digital Temperature Sensor"", ""Communication Method"": ""1-Wire"", ""Operating Voltage"": ""3V to 5V"", ""Temperature Range"": ""-55Â°C to +125Â°C"", ""Accuracy"": ""Â±0.5Â°C"", ""Output Resolution"": ""9-bit to 12-bit (programmable)"", ""Unique Address"": ""64-bit (enables multiplexing)"", ""Conversion Time"": ""750ms (at 12-bit resolution)"", ""Alarm Feature"": ""Programmable alarm options"", ""Package Options"": ""TO-92, SOP, Waterproof probe""}",4
16,DS18B20 TEMP SENSOR MODULE,,50,Module,DS18B20 TEMP SENSOR MODULE.jpeg,"{ ""Model"": ""DS18B20"", ""Sensor Type"": ""Digital Temperature Sensor Module"", ""Operating Voltage"": ""3.0V - 5.5V DC"", ""Temperature Range"": ""-55°C to 125°C"", ""Communication Interface"": ""1-Wire Digital"", ""Temperature Accuracy"": ""±0.5°C (-10°C to +85°C)"", ""Weight"": ""Approximately 5 g"" }",S15A,,-,"{""Type"": ""Programmable Digital Temperature Sensor"", ""Communication Method"": ""1-Wire"", ""Operating Voltage"": ""3V to 5V"", ""Temperature Range"": ""-55Â°C to +125Â°C"", ""Accuracy"": ""Â±0.5Â°C"", ""Output Resolution"": ""9-bit to 12-bit (programmable)"", ""Unique Address"": ""64-bit (enables multiplexing)"", ""Conversion Time"": ""750ms (at 12-bit resolution)""}",-
17,AD8232 ECG with Heart Rate Sensor,The Heart Rate Monitor Kit with AD8232 ECG sensor module Kit For Arduino is a cost-effective board use to measure the electrical activity of the heart. This electrical activity can be chart as an ECG or Electrocardiogram and output as an analog reading.,400,Sensors,AD8232 ECG with Heart Rate Sensor.jpeg,"{""Type"": ""Fully integrated single-lead ECG front end"", ""Common-Mode Rejection Ratio"": ""80 dB (dc to 60 Hz)"", ""Electrode Configuration"": ""Two or three electrodes"", ""Application Qualification"": ""Automotive"", ""Operating Voltage"": ""2.0V to 3.5V"", ""Fast Restore Feature"": ""Improves filter settling""}",S16,800,400,"[""Fully integrated single-lead ECG front end"", ""Common-mode rejection ratio: 80 dB (dc to 60 Hz)"", ""Two or three-electrode configurations"", ""Qualified for automotive applications"", ""Single-supply operation: 2.0V to 3.5V"", ""Fast restore feature for improved filter settling"", ""Compact size: 3.5cm x 3cm""]",2
18,EMG Muscle Sensor Module V3.0 with Cable And Electrodes,"EMG Muscle Sensor Module V3.0 With Cable And Electrodes will measure the filtered and rectified electrical activity of a muscle; outputting 0-Vs Volts depending the amount of activity in the selected muscle, where Vs signifies the voltage of the power source. Power supply voltage: min. +-3.5V. By detecting the electromyogram (EMG), measuring muscle activity has traditionally been used in medical research, however with shrinking but more powerful microcontrollers and integrated circuits advent EMG power Road and sensors can be used for various control systems.",450,Sensors,EMG Muscle Sensor Module V3.0 with Cable And Electrodes.jpeg,"{""Electrode Pad Diameter"": ""52 mm"", ""Cable Length"": ""2 feet"", ""Weight"": ""30 g"", ""Gain"": ""Improved adjustable gain (rugged design)"", ""Cable Interface"": ""Onboard port for new cables"", ""Connectivity"": ""Connects to board directly (plug-and-play)"", ""Minimum Operating Voltage"": ""Â±3.5V""}",S16A,900,450,"[""Power Supply: Normally Â±9V dual supply (minimum Â±3.5V)"", ""Small form factor"", ""Output varies depending on muscle activity level"", ""Supports Arduino"", ""Breadboard mountable""]",0
19,AS608 Optical Fingerprint Sensor Module,"The AS608 Optical Fingerprint Sensor Module is a compact and reliable biometric sensor designed for fingerprint recognition and storage applications. Utilizing optical sensing technology, the AS608 module offers precise and secure fingerprint capture with fast matching and high accuracy. It is ideal for use in security systems, access control, attendance systems, and embedded electronics projects requiring user identification and authentication.With built-in image processing, storage capacity for fingerprints, and a UART interface, the module is easy to integrate with microcontrollers like Arduino, Raspberry Pi, or STM32. Its onboard DSP handles fingerprint image capture, feature extraction, and matching independently, making it ideal for low-power and resource-constrained applications.",950,Sensors,AS608 Optical Fingerprint Sensor Module.jpeg,"{ ""Model"": ""AS608"", ""Sensor Type"": ""Optical Fingerprint Sensor Module"", ""Operating Voltage"": ""3.6V - 6.0V DC"", ""Communication Interface"": ""UART (TTL Serial)"", ""Fingerprint Capacity"": ""Up to 1000 fingerprint templates"", ""Image Resolution"": ""500 DPI"", ""Weight"": ""Approximately 20 g"" }",S17,1900,950,"[ ""High-speed fingerprint enrollment and matching"", ""500 DPI optical sensor for reliable fingerprint recognition"", ""UART TTL serial interface for easy integration with microcontrollers"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Built-in flash memory for storing up to 1000 fingerprint templates"" ]",1
20,Float Level Control Switch Plastic Float Switch,"A float switch is a device used to sense the level of liquid within a tank.The switch may actuate a pump, an indicator, an alarm, or other device. Use them with hydroponics, saltwater tank, freshwater tank, gardening, aquariums for power head control, pet bowls, fish tanks, filtration, heating, pumps,",150,Sensors,Float Level Control Switch Plastic Float Switch.jpeg,"{ ""Sensor Type"": ""Plastic Float Level Switch"", ""Operating Voltage"": ""Up to 220V AC / 200V DC"", ""Maximum Switching Current"": ""0.5A"", ""Contact Type"": ""Normally Open (NO) / Normally Closed (NC)"", ""Operating Temperature"": ""-10°C to 85°C"", ""Weight"": ""Approximately 15 g"" }",S18,300,150,"[ ""Magnetic reed switch for reliable liquid level detection"", ""Supports both Normally Open (NO) and Normally Closed (NC) operation by reversing the float"", ""Easy threaded installation with sealing nut and gasket"", ""Compatible with Arduino, ESP32, Raspberry Pi, PLCs, and other control systems"", ""Ideal for water tanks, aquariums, sump pumps, and industrial liquid level monitoring"" ]",0
21,Water Flow Sensor ST-S201,This is YF-S201 Water Flow Measurement Sensor with 1-30Liter/min Flow Rate â€“ Black. This sensor sits in line with your water line and contains a pinwheel sensor to measure how much liquid has moved through it. Thereâ€™s an integrated magnetic hall effect sensor that outputs an electrical pulse with every revolution. The hall effect sensor is sealed from the water pipe and allows the sensor to stay safe and dry.,170,Sensors,Water Flow Sensor ST-S201.jpeg,"{ ""Model"": ""ST-S201"", ""Sensor Type"": ""Hall Effect Water Flow Sensor"", ""Operating Voltage"": ""5V - 18V DC"", ""Flow Range"": ""1 - 30 L/min"", ""Output Signal"": ""Pulse Output"", ""Pipe Connection"": ""G1/2 inch Thread"", ""Weight"": ""Approximately 55 g"" }",S19,340,170,"[ ""Built-in Hall effect sensor for accurate water flow measurement"", ""Pulse output proportional to the water flow rate"", ""Low power consumption with stable and reliable performance"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Ideal for water dispensers, irrigation systems, smart water meters, and liquid flow monitoring"" ]",2
22,water-flow-sensor-0.125-inch-yf-s401-400x400,,210,Sensors,Water-Flow-Sensor-0.125-inch-yf-s401-400x400.jpg,"{ ""Model"": ""YF-S401"", ""Sensor Type"": ""Hall Effect Water Flow Sensor"", ""Operating Voltage"": ""5V - 18V DC"", ""Flow Range"": ""0.3 - 6 L/min"", ""Output Signal"": ""Pulse Output"", ""Pipe Connection"": ""1/8 inch (0.125 inch)"", ""Weight"": ""Approximately 30 g"" }",S19A,420,210,"[ ""Built-in Hall effect sensor for accurate low-flow water measurement"", ""Pulse output proportional to the water flow rate"", ""Compact design suitable for low-flow liquid monitoring applications"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Ideal for water purifiers, coffee machines, beverage dispensers, and laboratory equipment"" ]",1
23,Force Sensor Resistor 14.7mm Round Pressure Sensor 0.5 Inch,,50,Sensors,Force Sensor Resistor 14.7mm Round Pressure Sensor 0.5 Inch.jpeg,"{ ""Sensor Type"": ""Force Sensitive Resistor (FSR)"", ""Sensing Area Diameter"": ""14.7 mm (0.5 inch)"", ""Operating Voltage"": ""3.3V - 5V DC (with external resistor)"", ""Force Sensing Range"": ""Approximately 100 g - 10 kg"", ""Output Type"": ""Analog Variable Resistance"", ""Weight"": ""Approximately 3 g"" }",S20,,-,"[ ""Detects applied force or pressure by changing its resistance"", ""Thin, lightweight, and flexible design for easy integration"", ""Provides analog output when used with a voltage divider circuit"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Ideal for pressure sensing, touch detection, robotics, wearable devices, and interactive projects"" ]",-
24,Flex Sensor,Flex Sensors are commonly used in Robotic Gloves and other Robotic Control application. It can be used to analyze how much a material is being bent. This flex sensor is 2.2 inch long and has two output leads which acts like a variable resistor. That is the resistance between two pins change based on how much the sensor is bent. It is commonly used along with another resistor to build a voltage divider circuit and then obtain a variable voltage based on the change in resistance of the sensor.,300,Sensors,Flex sensor.jpeg,"{ ""Sensor Type"": ""Flex Sensor"", ""Sensor Length"": ""2.2 inch (55 mm)"", ""Operating Voltage"": ""3.3V - 5V DC (with external resistor)"", ""Resistance"": ""10 k? (flat), up to 30–40 k? (bent)"", ""Output Type"": ""Analog Variable Resistance"", ""Weight"": ""Approximately 2 g"" }",S20A,600,300,"[ ""Detects bending by changing its electrical resistance"", ""Thin, lightweight, and flexible construction"", ""Provides analog output when used with a voltage divider circuit"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Ideal for gesture recognition, robotics, wearable electronics, gaming controllers, and motion sensing applications"" ]",2
25,Heart beat rate sensor,"It is easy to use a Pulse sensor that can be used to detect the Heart Rate of a Person. Heart rate is essential to determine your health and also to monitor while working out or running. This works on a principle called photoplethysmography, which means the changes in the volume of blood in an organ is measured by the changes in the intensity of the light passing through that organ hence the emitted light from the LED will be received by photosensor only when there is blood in the vein hence measuring the pulse. The output signal is further conditioned and filtered to give the final output. This Heartbeat sensor module can be easily used with Arduino to monitor anxiety levels, remote patient monitoring or exercise routines.",130,Sensors,Heart beat rate sensor.jpeg,"{ ""Sensor Type"": ""Heartbeat Pulse Sensor"", ""Operating Voltage"": ""3.3V - 5V DC"", ""Output Type"": ""Analog Signal"", ""Current Consumption"": ""Less than 4 mA"", ""Sensing Method"": ""Optical Photoplethysmography (PPG)"", ""Weight"": ""Approximately 3 g"" }",S21,260,130,"[ ""Measures heart rate using optical photoplethysmography (PPG) technology"", ""Provides analog output for easy interfacing with microcontrollers"", ""Low power consumption suitable for portable and wearable applications"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Ideal for heart rate monitoring, fitness projects, and biomedical applications"" ]",1
26,Vibration sensor module,,50,Sensors,Vibration sensor module.jpeg,"{ ""Sensor Type"": ""Vibration Sensor Module"", ""Operating Voltage"": ""3.3V - 5V DC"", ""Output Type"": ""Digital Output"", ""Detection Method"": ""Spring-type Vibration Switch (SW-420)"", ""Sensitivity"": ""Adjustable via onboard potentiometer"", ""Weight"": ""Approximately 10 g"" }",S22,100,50,"[ ""Detects vibration and shock using an SW-420 vibration sensor"", ""Adjustable sensitivity with onboard potentiometer"", ""Digital output with onboard status LED"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Ideal for security alarms, vibration monitoring, industrial equipment, and motion detection projects"" ]",
27,1.5-5V DC VibrationMotor,"The Water Flow sensor measures the rate of a liquid flowing through it. The YF-S401 water flow sensor consists of a plastic valve body, flow rotor, and hall effect sensor. It is usually used at the inlet end to detect the amount of flow. When liquid flows through the sensor, a magnetic rotor will rotate and the rate of rotation will vary with the rate of flow. The hall effect sensor will then output a pulse width signal. Connect it to a microcontroller and you can monitor multiple devices such as your coffee maker, sprinkler, or anything else, and control the water flow rate to suit your needs!",45,Sensors,1.5-5V DC VibrationMotor.jpg,"{ ""Product Type"": ""DC Coin Vibration Motor"", ""Operating Voltage"": ""1.5V - 5V DC"", ""Rated Speed"": ""9000 - 12000 RPM"", ""Motor Diameter"": ""10 mm"", ""Motor Thickness"": ""3 mm"", ""Weight"": ""Approximately 2 g"" }",S22A,90,45,"[ ""Provides strong vibration feedback in a compact form factor"", ""Low power consumption with fast start-up response"", ""Suitable for haptic feedback, alerts, and notification systems"", ""Compatible with Arduino, ESP32, Raspberry Pi, and other microcontroller platforms (using a transistor or driver circuit)"", ""Ideal for wearable devices, mobile projects, robotics, and DIY electronic applications"" ]",11
28,Coin Type Micro Vibration Motor,,50,,Coin Type Micro Vibration Motor.jpg,"{ ""Product Type"": ""Coin Type Micro Vibration Motor"", ""Operating Voltage"": ""3V DC (1.5V - 5V DC)"", ""Rated Speed"": ""9000 - 12000 RPM"", ""Motor Diameter"": ""10 mm"", ""Motor Thickness"": ""3 mm"", ""Weight"": ""Approximately 2 g"" }",,,45,"[ ""Compact coin-shaped motor for vibration and haptic feedback applications"", ""Low power consumption with quick response time"", ""Operates silently with reliable vibration performance"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and other microcontrollers (using a transistor or motor driver)"", ""Ideal for wearable devices, mobile electronics, gaming controllers, and notification systems"" ]",1
29,IR SENSOR,"IR Sensor module has great adaptive capability of the ambient light, having a pair of infrared transmitter and the receiver tube, the infrared emitting tube to emit a certain frequency, encounters an obstacle detection direction (reflecting surface), infrared reflected back to the receiver tube receiving, after a comparator circuit processing, the green LED lights up, while the signal output will output digital signal (a low-level signal), through the potentiometer knob to adjust the detection distance, the effective distance range 2 ~ 10cm working voltage of 3.3V-5V. The detection range of the sensor can be adjusted by the potentiometer, with little interference, easy to assemble, easy to use features, can be widely used robot obstacle avoidance, obstacle avoidance car assembly line count and black-and-white line tracking and many other occasions.",50,Sensors,IR SENSOR.jpeg,"{ ""Sensor Type"": ""Infrared (IR) Obstacle Sensor Module"", ""Operating Voltage"": ""3.3V - 5V DC"", ""Detection Range"": ""2 - 30 cm (adjustable)"", ""Output Type"": ""Digital Output"", ""Infrared Wavelength"": ""940 nm"", ""Weight"": ""Approximately 10 g"" }",S23,50,25,"[ ""Detects obstacles using infrared transmitter and receiver"", ""Adjustable sensing distance with onboard potentiometer"", ""Digital output with power and detection status LEDs"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Ideal for obstacle avoidance robots, object detection, automation, and smart vehicle projects"" ]",63
30,5mm IR LED Infrared Receiver and Transmitter Diode,"5mm IR Infrared Transmitter and Receiver LED is a Pair of Infrared LED and Photo diode tuned to same IR wavelength. You can use this sensors for your Robotics, Pulse Oximeter and other applications. 5mm IR LED Light Emitting Diode emits light in the infrared region, which is invisible to human eyes. This includes Infrared Receiver and Infrared Transmitter.",50,,5mm IR LED Infrared Receiver and Transmitter Diode.jpg,"{ ""Product Type"": ""5mm IR LED Receiver and Transmitter Diode"", ""Operating Voltage"": ""1.2V - 1.5V (IR LED), 3.3V - 5V (Receiver Circuit)"", ""Infrared Wavelength"": ""940 nm"", ""LED Diameter"": ""5 mm"", ""Viewing Angle"": ""20° - 40°"", ""Weight"": ""Approximately 1 g"" }",,,25,"[ ""Includes infrared transmitter and receiver for wireless IR communication"", ""940 nm wavelength suitable for remote control and sensing applications"", ""Fast response with stable infrared signal transmission and reception"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Ideal for IR remote controls, obstacle detection, line-following robots, and proximity sensing"" ]",
31,5CH IR Array sensor,"5 channel IR sensor: Based on the TRCT5000 infrared reflection sensor, the TCRT5000L 5 Channel Tracking Sensor Tracking Module Infrared Sensor is frequently used to produce tracking smart cars. The TRCT5000 sensor's infrared emitting diode continually emits infrared light. A CTRT 5000 is a  Boiler Controller for an Electric water heater. Based on the TRCT5000 infrared reflective sensor, the TCRT5000L 5 IR Tracking Module Infrared Sensor is frequently used to produce tracking smart cars. The TRCT5000 sensor's infrared emitting diode continually emits infrared light. The infrared receiver picks up the emitted infrared rays that are reflected by the object and produces analogue values. The output analogue value depends on the colour and distance of the item. Calculating the analogue value of the five outputs allows one to determine the location of the tracking line.",178,Sensors,5CH IR Array sensor.jpeg,"{ ""Product Type"": ""5-Channel IR Array Sensor Module"", ""Operating Voltage"": ""3.3V - 5V DC"", ""Number of Sensors"": ""5 Infrared Reflective Sensors"", ""Output Type"": ""Digital Output"", ""Detection Distance"": ""2 - 20 mm (depending on surface)"", ""Weight"": ""Approximately 20 g"" }",S23C,356,178,"[ ""Five infrared sensors for simultaneous line and edge detection"", ""High-speed digital outputs for accurate line tracking"", ""Adjustable sensitivity using onboard potentiometers"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Ideal for line-following robots, maze-solving robots, and path detection applications"" ]",2
32,Eyeblink sensor,"The eyeâ€“blink sensor works by illuminating the eye and eyelid area with infrared light, then monitoring the changes in the reflected light using a phototransistor and differentiator circuit. The exact functionality depends greatly on the positioning and aiming of the emitter and detector with respect to the eye.",175,Sensors,Eyeblink sensor.jpeg,"{ ""Sensor Type"": ""Eye Blink Sensor Module"", ""Operating Voltage"": ""3.3V - 5V DC"", ""Detection Method"": ""Infrared (IR) Reflection"", ""Output Type"": ""Analog and Digital Output"", ""Sensitivity"": ""Adjustable via onboard potentiometer"", ""Weight"": ""Approximately 15 g"" }",S24,350,175,"[ ""Detects eye blinks using infrared reflection technology"", ""Provides both analog and digital output signals"", ""Adjustable sensitivity for reliable blink detection"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Ideal for assistive devices, human-computer interaction, biomedical projects, and driver drowsiness detection"" ]",2
33,5mm LDR,,6,Sensors,5mm LDR.jpeg,"{ ""Sensor Type"": ""5mm Light Dependent Resistor (LDR)"", ""Diameter"": ""5 mm"", ""Operating Voltage"": ""3.3V - 5V DC (with external resistor)"", ""Dark Resistance"": ""0.5 M? - 2 M?"", ""Light Resistance"": ""10 k? - 20 k? (at 10 Lux)"", ""Weight"": ""Approximately 1 g"" }",S25,12,6,"[ ""Resistance changes according to ambient light intensity"", ""Provides analog output when used in a voltage divider circuit"", ""Low cost, compact, and easy to interface"", ""Compatible with Arduino, ESP32, ESP8266, Raspberry Pi, and STM32"", ""Ideal for automatic lighting, light meters, solar tracking, and ambient light sensing applications"" ]",50
